Nazwa pliku,czas[s],czas[ms],ilosc testow
tsp_6_1,1.29221e-05,0.0129,1000, 
tsp_6_2,1.94e-05,0.0194,1000, 
tsp_10,0.00025,0.25,1000, 
tsp_12,0.00201,2.01,1000, 
tsp_13,0.00276,2.76,500, 
